Ex(m), Ey(m), Ez(m)
2.029884, 0.008902192, 0.02069092
3.21174, 0.008263826, 0.02175236
4.685304, 0.01186156, 0.02176571
6.438715, 0.01294148, 0.02176476
8.223882, 0.01084852, 0.02201557
10.07768, 0.01550341, 0.02235699
11.81636, 0.1007011, 0.02073383
13.50249, 0.391933, 0.01901817
14.95887, 0.9604192, 0.01812363
1.737052, 0.648766, 0.01760197
3.259738, 0.1150918, 0.01636791
5.046838, -0.1255016, 0.01679516
6.961846, -0.1596086, 0.01752758
9.024688, -0.1206805, 0.01992035
11.00115, -0.0793249, 0.02127075
13.03678, -0.002310395, 0.01963997
14.88776, 0.2038207, 0.01666451
16.62375, 0.6505488, 0.01191998
1.073011, 0.8207664, 0.007123947
2.667732, 0.2595488, 0.006093979
4.420306, -0.04481936, 0.007070541
6.30393, -0.1374931, 0.006893158
8.282024, -0.1231441, 0.00677681
10.18895, -0.08991051, 0.006839752
12.01457, 0.01336145, 0.006461143
13.79717, 0.3137894, 0.005405426
15.33603, 0.8794694, 0.003324509
1.666528, 0.6727007, 0.001012802
3.244708, 0.1237279, -0.0002479553
5.004276, -0.1278661, -0.0007886887
6.886449, -0.1783993, -0.001242638
8.779682, -0.1544917, 0.0001516342
10.70048, -0.1056037, 0.001047134
12.56098, 0.04670286, 0.0004796982
14.24442, 0.3933182, -0.00110817
15.81873, 1.021065, -0.004361153
1.925139, 0.4939997, -0.006481171
3.563799, 0.01183048, -0.007661819
5.352271, -0.1984945, -0.009913445
7.23527, -0.2412852, -0.01007557
9.145083, -0.2235414, -0.008666992
11.13542, -0.1889375, -0.007214546
13.03143, -0.148775, -0.007744789
14.66521, -0.1121132, -0.00724411
16.02325, -0.08110297, -0.006753922
17.06419, -0.06043136, -0.00681591
17.7537, -0.04881597, -0.00715065
18.11643, -0.04166842, -0.006746292
18.21313, -0.04026639, -0.005349159
7
0.04828764, 0.06978553, 0.0009880066
0.05101323, 0.05423941, 0.01480007
0.1396741, 0.03778499, 0.01733398
0.4008999, 0.02042499, 0.01748085
0.9183086, 0.008176327, 0.01792717
1.713956, 0.002644241, 0.01903629
2.87178, 0.0002611876, 0.02079487
4.334106, 0.002398014, 0.0210743
6.033923, 0.00428319, 0.02028561
7.822931, 0.001530647, 0.020298
9.658257, -0.0006995201, 0.01985264
11.54446, 0.06559873, 0.01948738
13.18924, 0.303997, 0.01894855
14.68538, 0.8200912, 0.01766682
1.427304, 0.7848945, 0.01471996
2.88445, 0.1889579, 0.01249027
4.584108, -0.1139188, 0.01163864
6.435785, -0.1905538, 0.01274204
8.482212, -0.1681738, 0.01436043
10.47397, -0.1313615, 0.01560879
12.44497, -0.07416481, 0.01651287
14.34141, 0.08286726, 0.01561928
16.13962, 0.4558631, 0.01297665
0.6123306, 0.9990671, 0.01013565
2.215804, 0.341442, 0.009008408
3.948164, -0.03175759, 0.007519722
5.795643, -0.1667116, 0.005521774
7.722585, -0.1681628, 0.00488472
9.689197, -0.1381969, 0.005477905
11.61678, -0.05737495, 0.005395889
13.41955, 0.1862712, 0.004257202
15.04608, 0.6996326, 0.001060486
1.288299, 0.8179173, -0.001309395
2.82018, 0.1905985, -0.002001762
4.508416, -0.1224322, -0.003390312
6.315673, -0.2158349, -0.00514698
8.255968, -0.206346, -0.004638672
10.16222, -0.1753073, -0.002534866
12.06315, -0.06374311, -0.001822472
13.8737, 0.2463527, -0.003582001
15.48749, 0.8241491, -0.005590439
1.531368, 0.6411136, -0.006923676
3.152221, 0.07987387, -0.007724762
4.883319, -0.1924499, -0.00858593
6.749772, -0.2755039, -0.009585381
8.763689, -0.268409, -0.009372711
